Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_OPERATI;OPERATION;NATURE;MODE_;SOUS_MODE;INDICE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.257515004584036, 48.72472914443167]}";Massy - Palaiseau;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;1;1;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.7247291444,2.25751500458
"{""type"": ""Point"", ""coordinates"": [2.050840011911374, 48.86794748422768]}";Saint-Nom-la-Bretèche - Forêt de Marly;319;Tram 13;31901;Grande Ceinture Ouest;arrêt;3;32;13;1;0;1;;1;0;0;9;1;2014-02-03T01:00:00+01:00;1;48.8679474842,2.05084001191
"{""type"": ""Point"", ""coordinates"": [2.078427726972373, 48.9705389968461]}";Achères-Ville RER;319;Tram 13;31902;Tangentielle Ouest (Phase 2);arrêt;3;32;13;1;1;2;;0;1;0;7;0;;1;48.9705389968,2.07842772697
"{""type"": ""Point"", ""coordinates"": [2.076641264487425, 48.949380191194535]}";Achères - Chêne-Feuillu;319;Tram 13;31902;Tangentielle Ouest (Phase 2);arrêt;3;32;13;0;0;2;;0;1;0;7;0;;1;48.9493801912,2.07664126449
"{""type"": ""Point"", ""coordinates"": [2.061076225774677, 48.841428765319364]}";Noisy-le-roi;319;Tram 13;31901;Grande Ceinture Ouest;arrêt;3;32;13;1;0;1;;1;0;0;9;1;2014-02-03T01:00:00+01:00;1;48.8414287653,2.06107622577
"{""type"": ""Point"", ""coordinates"": [2.380735606395094, 48.91371054554959]}";Mairie d'Aubervilliers;110;metro 12;11001;ligne 12 à Mairie d'Aubervilliers;arrêt;1;11;12;0;1;2;;0;1;0;9;1;2004-06-08T02:00:00+02:00;1;48.9137105455,2.3807356064
"{""type"": ""Point"", ""coordinates"": [2.077486170653509, 48.80737920155234]}";Les Portes de Saint-Cyr;319;Tram 13;31901;Tangentielle Ouest (Phase 1);arrêt;3;32;13;0;0;1;;1;0;0;9;1;2014-02-03T01:00:00+01:00;1;48.8073792016,2.07748617065
"{""type"": ""Point"", ""coordinates"": [2.459700070144241, 48.89729747595228]}";Noisy-le-Sec;317;Tram 11;31702;Tangentielle Nord : Le Bourget - Noisy-le-Sec (Phase 2);arrêt;3;32;11;1;1;2;;1;0;0;7;1;2008-05-27T02:00:00+02:00;1;48.897297476,2.45970007014
"{""type"": ""Point"", ""coordinates"": [2.335359426259653, 48.67063926645664]}";Epinay;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;1;0;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.6706392665,2.33535942626
"{""type"": ""Point"", ""coordinates"": [2.436398062869576, 48.89870303252062]}";Bobigny - La Folie;317;Tram 11;31702;Tangentielle Nord : Le Bourget - Noisy-le-Sec (Phase 2);arrêt;3;32;11;0;0;2;;1;0;0;7;1;2008-05-27T02:00:00+02:00;1;48.8987030325,2.43639806287
"{""type"": ""Point"", ""coordinates"": [2.428314221420966, 48.91567801506256]}";Drancy-Bobigny;317;Tram 11;31702;Tangentielle Nord : Le Bourget - Noisy-le-Sec (Phase 2);arrêt;3;32;11;1;0;2;;1;0;0;7;1;2008-05-27T02:00:00+02:00;1;48.9156780151,2.42831422142
"{""type"": ""Point"", ""coordinates"": [2.489779906795019, 48.85484532349485]}";Gare RER - Val de Fontenay;302;Tram 01 - VDF;30201;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;31;1;1;1;1;;0;1;0;9;1;2014-02-17T01:00:00+01:00;1;48.8548453235,2.4897799068
"{""type"": ""Point"", ""coordinates"": [2.07296645001298, 48.798778200412904]}";Saint-Cyr;319;Tram 13;31901;Tangentielle Ouest (Phase 1);arrêt;3;32;13;1;1;1;;1;0;0;9;1;2014-02-03T01:00:00+01:00;1;48.7987782004,2.07296645001
"{""type"": ""Point"", ""coordinates"": [2.481912892726974, 48.86142603555179]}";Victor Hugo;302;Tram 01 - VDF;30201;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;31;1;0;0;1;;0;1;0;9;1;2014-02-17T01:00:00+01:00;1;48.8614260356,2.48191289273
"{""type"": ""Point"", ""coordinates"": [2.373850621093473, 48.65901888279667]}";Viry - Chatillon;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;0;0;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.6590188828,2.37385062109
"{""type"": ""Point"", ""coordinates"": [2.457742002004044, 48.86715158128736]}";Rue de Rosny;302;Tram 01 - VDF;30201;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;31;1;0;0;1;;0;1;0;9;1;2014-02-17T01:00:00+01:00;1;48.8671515813,2.457742002
"{""type"": ""Point"", ""coordinates"": [2.366707759865081, 48.903023781137236]}";EMGP;313;Tram 08;31302;T8 à Rosa Parks;arrêt;3;31;8;0;0;2;;0;1;0;3;0;;1;48.9030237811,2.36670775987
"{""type"": ""Point"", ""coordinates"": [2.447358159976187, 48.872916626184406]}";Route de Romainville;302;Tram 01 - VDF;30201;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;31;1;0;0;1;;0;1;0;9;1;2014-02-17T01:00:00+01:00;1;48.8729166262,2.44735815998
"{""type"": ""Point"", ""coordinates"": [2.471483454080544, 48.80013779448455]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8001377945,2.47148345408
"{""type"": ""Point"", ""coordinates"": [2.441327984629524, 48.87841181335823]}";Collège Gustave Courbet;302;Tram 01 - VDF;30201;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;31;1;0;0;1;;0;1;0;9;1;2014-02-17T01:00:00+01:00;1;48.8784118134,2.44132798463
"{""type"": ""Point"", ""coordinates"": [2.376771315219628, 48.691213124906646]}";Place du Maréchal Leclerc;312;Tram 07;31202;T7 : Athis Mons - Juvisy (Phase 2);arrêt;3;31;7;0;0;2;;0;1;0;8;1;2013-11-27T01:00:00+01:00;1;48.6912131249,2.37677131522
"{""type"": ""Point"", ""coordinates"": [2.440756099035142, 48.88391753635459]}";Place Carnot;302;Tram 01 - VDF;30201;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;31;1;0;0;1;;0;1;0;9;1;2014-02-17T01:00:00+01:00;1;48.8839175364,2.44075609904
"{""type"": ""Point"", ""coordinates"": [2.531758476774792, 48.83272021532252]}";;206;bus Est TVM;20601;Est TVM;arrêt;2;21;;0;0;1;;1;0;0;7;1;2014-07-21T02:00:00+02:00;1;48.8327202153,2.53175847677
"{""type"": ""Point"", ""coordinates"": [2.453290247876752, 48.89044014543545]}";Place Jeanne d'Arc;302;Tram 01 - VDF;30201;T1 Est : Noisy-Le-Sec - Val de Fontenay;arrêt;3;31;1;0;0;1;1;0;1;0;9;1;2014-02-17T01:00:00+01:00;1;48.8904401454,2.45329024788
"{""type"": ""Point"", ""coordinates"": [2.274804996246745, 48.9273734013309]}";Asnières Quatre Routes;301;Tram 01 - Colombes;30103;T1 Ouest : Asnières - Colombes - Quatre routes;arrêt;3;31;1;0;1;3;;0;1;0;9;1;2015-07-07T02:00:00+02:00;1;48.9273734013,2.27480499625
"{""type"": ""Point"", ""coordinates"": [2.407576768063945, 48.62508421000366]}";Monnet;318;Tram 12;31801;Tram-Train Massy - Evry;arrêt;3;32;12;0;0;1;;1;0;0;9;1;2013-08-22T02:00:00+02:00;1;48.62508421,2.40757676806
"{""type"": ""Point"", ""coordinates"": [2.201167020977393, 48.88755240915207]}";Nanterre - La Boule;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;0;0;3;;0;1;0;5;0;;1;48.8875524092,2.20116702098
"{""type"": ""Point"", ""coordinates"": [2.365897057698694, 48.91078708276546]}";Campus Condorcet;313;Tram 08;31302;T8 à Rosa Parks;arrêt;3;31;8;0;0;2;;0;1;0;3;0;;1;48.9107870828,2.3658970577
"{""type"": ""Point"", ""coordinates"": [2.239606895475778, 48.92489149934717]}";Ile Marante;301;Tram 01 - Colombes;30104;T1 Ouest : Asnières - Colombes;arrêt;3;31;1;0;0;4;;0;1;0;8;1;2015-07-07T02:00:00+02:00;1;48.9248914993,2.23960689548
