Latitude;Longitude;Num Ligne;rang;Type;Nom_Station;trafic_2018;trafic_2019;trafic_2020;correspondance_1;correspondance_2;correspondance_3;correspondance_4;correspondance_5;ville;arrondissement_pour_paris;;annee;traffic total
48.884594208;2.33794977706;12;260;Metro;ABBESSES;2450498;2349588;854658;12;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;18;;2018;1812291477
48.8281884763;2.32716464961;4;107;Metro;ALESIA;5113245;4764374;2204961;4;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;14;;2019;1759998470
48.8563773572;2.39456194456;2;129;Metro;ALEXANDRE DUMAS;3668682;3439879;1849785;2;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;11;;2020;898305894
48.864766845;2.3009910035;9;170;Metro;ALMA-MARCEAU;4561735;4382709;1547789;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;8;;;
48.7549465264;2.30098685572;"ORLYVAL; RER B";18;RER;ANTONY;6365395;6304424;2790880;RER B;ORLYVAL;Pas de correspondance;Pas de correspondance;Pas de correspondance;Antony;;;;
48.8828686476;2.34413063372;2;88;Metro;ANVERS;6047635;5643147;2450333;2;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;18;;;
48.9037599302;2.39228705964;;27;Metro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;7785492;7215915;4131018;7;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Aubervilliers;;;;
48.8470195819;2.29542047803;10;264;Metro;AVENUE EMILE ZOLA;1506963;1479759;823178;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8515102782;2.39830234427;2;238;Metro;AVRON;2038056;1871024;1034013;2;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;11;;;
48.7933362962;2.32220163367;RER B;43;RER;BAGNEUX;2388018;2241461;1323158;RER B;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Cachan;;;;
48.8359308792;2.27816167128;8;71;Metro;BALARD;6028656;5626040;2643639;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8838039424;2.35061300069;"2; 4";40;Metro;BARBES-ROCHECHOUART;9337425;7974496;3530780;2;4;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;18;;;
48.9365268526;2.35939826103;"13; T1";76;Metro;BASILIQUE DE SAINT-DENIS;4894705;4311590;2616421;13;T1;13;Pas de correspondance;Pas de correspondance;Saint Denis;;;;
48.8524794228;2.36932058493;"1; 5; 8";10;Metro;BASTILLE;13172392;13151192;6084635;1;5;8;Pas de correspondance;Pas de correspondance;Paris;12;;;
48.8413382509;2.40091853812;6;224;Metro;BEL AIR;2406187;2247926;1168869;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;12;;;
